[16:49:35] [RUNNING] Avg:117856c (ΔH:[117851,117855,117855,117863]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117882c (ΔH:[117881,117885,117885,117878]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117912c (ΔH:[117911,117915,117915,117908]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117946c (ΔH:[117956,117945,117945,117938]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117976c (ΔH:[117971,117975,117975,117983]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118006c (ΔH:[118001,118005,118005,118013]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118036c (ΔH:[118046,118035,118035,118028]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118066c (ΔH:[118061,118065,118065,118073]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118092c (ΔH:[118091,118095,118095,118088]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118122c (ΔH:[118121,118125,118125,118118]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118156c (ΔH:[118166,118155,118155,118148]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118186c (ΔH:[118181,118185,118185,118193]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:118216c (ΔH:[118211,118215,118215,118223]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
